surce,line,text,
texto18,0,"Hace mucho tiempo, pero todavía me acuerdo.",
texto18,1,"Por las noches, alguien se ocupaba en colocar",
texto18,2,"ordenados chupones de hielo en los aleros",
texto18,3,"para ver llover desde el pupitre en las horas de sol.",
texto18,4,"El mundo se revelaba en cualquier caligrafía",
texto18,5,"de un soso y gastado libro sin fotografías",
texto18,6,"y casi cualquier pensamiento era un tesoro,",
texto18,7,"casi cualquier punto en el mapa un rincón en que soñar.",
texto18,8,"La mañana sabía a leche en polvo en el patio de la escuela",
texto18,9,"y volver a casa, pateando un bote o jugando a la rayuela,",
texto18,10,"era regresar al olor de sopa, de madre y de colada.",
